standardized_title,count,percentage,sample_description
AI Automation Engineer,1,0.03,"Overview We are looking for a tech-savvy Product & AI Automation Intern to support the development of innovative digital products and internal automation solutions. This role is designed for candidates who are interested in product development, user experience design, and AI-driven workflow automation. You will work closely with the product team to conduct market research, design product prototypes, and build internal automation workflows using AI and low-code tools. Responsibilities1. Product Research & Documentation Conduct market research and competitor analysis to identify emerging trends, product features, and user pain points. Support the team in preparing Business Requirement Documents (BRD) and Functional Requirement Documents (FRD). Define and map user journeys and logic flows for new product features. Assist in synthesizing research insights to support product improvement initiatives. 2. UI/UX Prototyping (Figma) Design wireframes, mockups, and interactive prototypes using Figma based on approved product requirements. Simulate user interactions to validate product logic and user experience before the development phase. Collaborate with the product team to refine design solutions. 3. AI & Workflow Automation Design and build automation workflows using low-code tools (e.g., n8n) to improve internal operational efficiency. Research and experiment with AI agents and Large Language Models (LLM) to automate repetitive tasks or support data analysis. Support the integration of automation solutions into existing workflows."
Data Management Specialist,1,0.03,"Xây dựng và duy trì các chính sách, quy trình quản trị dữ liệu trên toàn tổ chức. Quản lý metadata, chất lượng dữ liệu, phân loại dữ liệu và quyền truy cập người dùng. Đảm bảo dữ liệu tuân thủ các quy định nội bộ và pháp lý (VD: GDPR, Basel). Phối hợp với các đơn vị chức năng khác để nâng cao nhận thức và tiêu chuẩn về quản trị dữ liệu trong toàn doanh nghiệp."
AI Application Specialist,1,0.03,"1. Ứng dụng AI trong sản xuất nội dung bán hàng: - Sử dụng AI để: Tạo hình ảnh phối cảnh, ảnh minh họa marketing, Tạo video ngắn bán hàng, clip social, Hỗ trợ viết nội dung quảng cáo, kịch bản video - Thiết kế nhanh: Brochure, flyer, leaflet, Slide bán hàng cho đội ngũ kinh doanh. - Tối ưu nội dung phù hợp từng nền tảng (Facebook, TikTok, Website…). - Hỗ trợ đội Sales cá nhân hóa nội dung bán hàng bằng AI. 2. Chuẩn hóa thư viện template Marketing: - Xây dựng thư viện template chuẩn: Slide bán hàng, Brochure dự án, Mẫu bài đăng social, Mẫu proposal cho đối tác. - Xây dựng bộ prompt AI chuẩn dùng chung nội bộ. - Cập nhật, cải tiến template theo từng chiến dịch. - Đảm bảo đồng bộ hình ảnh thương hiệu. 3. Hỗ trợ triển khai Chatbot & CRM cơ bản: - Phối hợp triển khai chatbot tự động trả lời khách hàng. - Hỗ trợ thiết lập CRM: Nhập liệu, Phân loại khách hàng, Tạo báo cáo cơ bản. - Đề xuất tự động hóa quy trình chăm sóc khách hàng. - Hướng dẫn đội ngũ sử dụng công cụ hiệu quả. 4. Tối ưu quy trình làm việc bằng công nghệ: - Đề xuất công cụ AI/Automation phù hợp. - Xây dựng workflow tự động: Báo cáo bán hàng, Phân bổ lead, Nhắc lịch chăm sóc khách hàng - Theo dõi hiệu quả ứng dụng công nghệ. - Đào tạo nội bộ về sử dụng AI trong công việc. 5. Thực hiện các công việc khác: Thực hiện các nhiệm vụ khác theo sự phân công của Ban Lãnh đạo."
IT Business Partner,1,0.03,"HumVentures is a trusted Vietnamese hospitality brand managing a portfolio of premium concepts in dining, event spaces, and handcrafted regional gifts. We are committed to delivering refined culinary experiences and thoughtful service that reflect care, quality, and local identity. Our ecosystem includes: Hum – Wholesome plant-based cuisine Mặn Mòi – Authentic Vietnamese flavors Vườn Trong Phố – Elegant event spaces The Bloom – Unique handcrafted regional gifts We are looking for an experienced and capable IT Business Partner to join our team. This role plays a key part in connecting business strategy with technology solutions, managing company-wide IT systems, and driving digital transformation across all brands KEY RESPONSIBILITIES: This position requires strong management skills with the following key responsibilities: Analyze business requirements and translate them into feasible technology solutions. Propose appropriate IT solutions and improved processes to enhance operational efficiency. Orchestrate and coordinate resources from relevant departments in IT project implementation to support business needs. Monitor and control project progress, budget, risks, and quality. Ensure the IT system operates securely and maintains data consistency across the enterprise."
AI Data Annotator,1,0.03,"Vận hành hệ thống với dữ liệu là văn bản pháp luật, tình huống pháp luật, bản án… Nhập liệu các dữ liệu liên quan đến luật, câu hỏi/ câu trả lời liên quan đến pháp luật. Rà soát chất lượng câu trả lời tự động của Trợ lý ảo, sửa lại thông tin đúng khi trợ lý ảo nhận thông tin sai Các công việc khác theo yêu cầu của quản lý. Thời gian làm việc: 08:30-18:00 từ Thứ 2 đến Thứ 6"
IT Vendor Management,1,0.03,Yêu cầu: 2 năm kinh nghiệm Đại Học trở lên Tiếng Anh Đọc hiểu Xem chi tiết Yêu cầu Chuyên môn: Chuyên môn Công nghệ thông tin khác IT - Phần mềm
ABAP Developer,1,0.03,"We are looking for a talented and experienced ABAP developer to join our team. The ideal candidate will have experience in ABAP Workbench Tools, ABAP dictionary, ABAP editor, function builder, and transactions, ABAP dictionary, BAPI, RFC, BDC, and Enhancements.  Responsibilities Work with Technical lead, Consultant and PM to design technical solutions and develop ABAP programs Take full responsibility for SAP development (code, unit test, deploy, resolve Production issues) Research and apply latest SAP Technical to projects (SAP BTP, CDS, Odata, Integration Suites…) Involve in the full module of SAP from Production, Sales, Inventory, FI/CO , etc. Work on data migration from SAP to Other Application Follow strictly SAP development guidelines Expand the scope of work according to business development requirements"
Technical Operations Engineer,1,0.03,"Vận hành kỹ thuật: Vận hành kỹ thuật livestream bán hàng trên các phần mềm OBS, Vmix. Thiết lập, kiểm soát và xử lý các vấn đề liên quan đến hình ảnh, âm thanh, ánh sáng trong quá trình livestream. Quản lý, kết nối và vận hành các thiết bị livestream: camera, micro, đèn, switcher… Đảm bảo livestream diễn ra ổn định, đúng kịch bản và xử lý sự cố kỹ thuật phát sinh trong quá trình live. Phối hợp với team nội dung, host/MC và các bộ phận liên quan để tối ưu chất lượng buổi livestream. Vận hành livestream trên các nền tảng: Shopee, Facebook, TikTok và các nền tảng liên quan khác. Thực hiện các công việc theo sự phân công của quản lý. Quản lý team: Hướng dẫn, đào tạo và quản lý đội ngũ nhân sự level Intern, Executive. Phân công công việc, theo dõi tiến độ và xử lý các vấn đề kỹ thuật phát sinh. Duy trì và lan tỏa tinh thần làm việc đến toàn bộ thành viên trong team."
PMO Officer,1,0.03,"1. Quản trị dự án: - Xây dựng và cập nhật hệ thống quy trình quản trị, công cụ, phương pháp làm việc để quản trị tất cả các dự án triển khai của Công ty. - Phê duyệt kế hoạch triển khai dự án. Theo dõi, đánh giá và báo cáo kết quả, tiến độ thực hiện các dự án, trong đó gồm các dự án trọng điểm. - Kiểm tra, phê duyệt ngân sách dự án, các chỉ số đo lường của các Dự án hoặc các vấn đề phát sinh theo phân quyền phê duyệt. - Xây dựng mối quan hệ với các bên liên quan, phối hợp để xử lý vấn đề phát sinh, tránh làm ảnh hưởng đến dự án. - Lập kế hoạch quản trị rủi ro & đánh giá rủi ro cho các dự án, trong đó gồm các dự án trọng điểm. 2. Tổ chức, quản lý phòng Quản trị dự án: - Tổ chức hoạt động của phòng Quản trị dự án, thực hiện điều phối nguồn lực nhân sự vào các dự án. - Đánh giá hiệu quả làm việc của nhân sự, đề xuất và thực hiện các chương trình đào tạo phù hợp. - Tiếp nhận và hỗ trợ việc chia sẻ nguồn lực, tài nguyên giữa các bộ phận."
AI Application Developer,1,0.03,"Design, develop, and deploy AI-integrated applications that solve real logistics and operations problems. Identify opportunities for AI/LLM-driven automation across Sales, Customer Service, Operations, and Finance, and propose data-driven solutions. Translate business requirements into BRS/TRS/RTM artefacts per Dimerco IT standards, including AI feasibility analysis and solution design. Research emerging AI technologies, turn them into practical innovations, and deliver AI-driven solutions within project deadlines. Analyze and assist in gathering and supporting user requirements for IT applications as needed. Other tasks as Management assigned."
Agentic Coding Specialist,1,0.03,"About Scandinavian Software Park Scandinavian Software Park is Monterro’s tech hub in Hanoi, home to 150+ software engineers working for 13+ Nordic B2B SaaS companies. Founded in 2021, the park connects outstanding Vietnamese engineers with Scandinavia’s market-leading software companies. Monterro is a Stockholm-based private equity firm managing EUR 2.85bn, specializing exclusively in Nordic B2B software. We’re building a dedicated AI team called InFuse AI to accelerate AI adoption across our portfolio – and it starts right here in Hanoi.  Is this you? You can’t stop exploring agentic coding. Claude Code, Cursor, Copilot, Codex, the latest open-source agent frameworks. You try them all, you compare them, you have opinions. Not because someone asked you to, but because you couldn’t resist. You read the changelogs. You follow the people building these tools. When something new drops, you’re already testing it. Maybe you’ve built side projects just to see what’s possible. Maybe you’ve automated parts of your own workflow that nobody asked you to automate. Maybe you spend your evenings thinking about how AI changes the way developers work, not the models themselves, but what they mean for how software gets built. That’s the kind of curiosity we’re looking for. You’re the person your colleagues come to when they want to understand what AI can actually do for their code. And you enjoy that. You like showing people, not just telling them. You’ve shipped production software for 5+ years. You know what it’s like to maintain a legacy codebase, wrestle with technical debt, and deliver under pressure. That experience matters, it’s what gives you credibility when you sit down with a developer and say “let me show you something.”  Note: This role requires a strong software development background but the job itself is coaching and enabling other developers, not writing production code day to day. We’re looking for someone who builds with agentic coding tools, not someone who builds AI/ML models. If your background is mainly in machine learning, data science, or AI research, this probably isn’t the right fit. Your English is strong. You communicate clearly and ask good questions. If this sounds like you, keep reading.  What do you do? Roughly 80% of your time: help developers get good at AI coding . The other 20% is technical assessment work for investment decisions. But this split isn’t fixed, it will shift based on what’s needed. Coach and enable developers. Scandinavian Software Park has 150+ engineers working for 13+ Nordic B2B SaaS companies. Many of them haven’t yet integrated AI into how they code. Your job is to change that. You’ll work together with them directly in their codebases — not with slides and theory, but with real code and real problems. Pair programming, workshops, hands-on sessions. You’ll help teams find the workflows that actually work for them, at their level, in their stack. What this looks like day to day: Sit with developers and show them how to use AI tools effectively on their actual tasks Run workshops tailored to each team’s tech stack and experience level Help teams build habits — from spec-driven development to effective agent workflows to knowing when AI helps and when it doesn’t Support portfolio company teams based in Hanoi with agentic coding training Help with legacy modernization projects where AI-assisted development can make a real difference Create practical guides and share what works across teams You never work in a vacuum. Every engagement is coordinated with the Swedish AI team and/or the engineering leader at the portfolio company. You’ll always have someone to discuss approach with and learn from. You don’t need to have been a professional trainer. But you need to be the kind of person who genuinely likes helping others figure things out and who is patient enough to meet people where they are.  Support investment decisions through technical assessment . When Monterro evaluates a company for acquisition, you’ll help answer: how hard is this to build? You do this by trying to replicate the target company’s solution using AI tools. The outcome is always useful: If it’s easy to replicate – that tells us the solution has limited technical moat If it’s hard – we learn more about what’s difficult, which informs both the investment decision and where to create value afterwards You’ll also use AI to review code quality, technical debt, and architecture in target companies and feed your findings into the investment process.  Your team: You’ll be part of Monterro’s AI team, Infuse AI – a small, senior team based in Stockholm that works across the entire portfolio. You report to the AI Lead for reviews and development, but your daily work is closely coordinated with our senior agentic coding specialist. Expect daily standups, weekly team meetings (remote) and a lot of autonomy in between. You’re the team’s presence in Hanoi. That means you’ll build relationships with developers and team leads at the park, and be the bridge between what’s happening on the ground and the AI team’s broader strategy."
Demo Operations Specialist,1,0.03,"At OL Vietnam , we have worked alongside our parent company, Orange Logic LLC, to support some of the world’s largest enterprises with their digital asset management needs. Orange Logic provides a premier Digital Asset Management (DAM) platform that streamlines workflows, enhances collaboration, and ensures compliance across complex digital ecosystems, empowering any team working with digital content the ability to efficiently create, manage, and distribute their content at scale.  WHAT DIFFERENTIATES OL VIETNAM We are trusted by global leaders to work with over 100 customers, including many of the world's most recognized brands. Our business is strong and resilient, even in the face of economic challenges. During the Covid economic downturn, we did not implement layoffs or reduce compensation. Instead, we continued to grow, consistently expanding our team and adding dozens of talented members to our R&D department each year. You’ll work with top engineers and team members who are passionate about building flexible, scalable, and streamlined systems that will define the future of business management. MISSION Job Summary: We’re seeking a Demo Operations Specialist who is a key contributor within the Demo Operations function, supporting Solutions Engineers by building, configuring, and maintaining high-quality demo environments used in sales engagements. While aligned to the Implementation team, this role operates in close partnership with Pre-sales to ensure demo environments are delivered accurately, consistently, and on time.  This role is highly execution-focused and process-driven, responsible for translating defined requirements into fully configured environments. Responsibilities include structuring content, applying metadata, configuring UI elements, and enabling workflows that support compelling, repeatable demo experiences. In addition to core demo builds, this role also supports proof of concept environments and maintains shared demo systems used across teams.  Essential Functions: Demo & POC Environment Setup Configure demo and proof of concept environments based on detailed briefs from Solutions Engineers, including folder structures, metadata schemas, and content organization aligned to specific use cases and customer scenarios. Asset Management & Tagging Source, upload, and organize assets using customer-provided content, stock libraries, or curated examples; apply metadata and taxonomy with a high degree of accuracy and consistency. UI Configuration Configure user interfaces including homepages, navigation, collections, and forms to support guided demo flows, POC use cases, and role-based experiences. Automation & AI Services Execute AI-driven tagging and metadata enrichment processes; configure basic automation workflows to support demo and POC functionality. Workflow Support & Testing Assist in building and validating simulated customer workflows; execute QA processes, complete environment checklists, and ensure readiness prior to handoff to Solutions Engineers. Shared Demo System Support Maintain and update shared demo environments used across Presales and other internal teams, ensuring consistency, usability, and alignment with evolving product capabilities. Collaboration & Documentation Partner with Solutions Engineers, Implementation, and Product teams to deliver environments on schedule; maintain internal documentation, templates, and best practices to support scalability and repeatability. The above statements outline what are generally considered the principal and essential functions of this role. Specific responsibilities may vary based on business needs."
IT Risk Management,1,0.03,"Tham gia nhận diện, quản lý và phối hợp với các bộ phận đưa ra các biện pháp phù hợp nhằm phòng tránh và giảm thiểu các rủi ro có thể xảy ra trong lĩnh vực công nghệ thông tin (CNTT). Quản lý các điểm yếu, rủi ro trong hoạt động công nghệ; Đầu mối xây dựng và tổ chức triển khai các tài liệu, chỉ số về rủi ro nhằm phát hiện và quản lý các rủi ro tiềm ẩn trong lĩnh vực công nghệ của VAB; Nghiên cứu và đề xuất các chính sách, giải pháp An toàn thông tin, quản lý rủi ro công nghệ; Tham gia soạn thảo, đề xuất điều chỉnh quy định, quy trình về quản lý rủi ro hoạt động công nghệ tại VAB nhằm đảm bảo cập nhật đáp ứng tuân thủ theo các văn bản quản lý; Giám sát thực hiện các nguyên tắc quản trị rủi ro CNTT theo các quy định tại các văn bản hiện hành về Quản trị rủi ro CNTT của VAB và các chuẩn mực Quản trị rủi ro CNTT; Quản lý danh mục rủi ro công nghệ thông tin của ngân hàng, đề xuất các giải pháp giảm thiểu, kiểm soát rủi ro phù hợp. Phối hợp với Khối Công nghệ Ngân hàng xử lý các rủi ro trọng yếu; Phát triển, thực hiện chính sách và công cụ quản lý rủi ro trong hệ thống một cách nhất quán; Thực hiện các báo cáo định kỳ tới Ban lãnh đạo Khối theo yêu cầu; Tổ chức đánh giá độc lập rủi ro của các hệ thống CNTT và cho ý kiến với các báo cáo tự đánh giá rủi ro hệ thống do Khối Công nghệ Ngân hàng, người dùng thực hiện; Xây dựng và quản lý hệ thống chỉ số rủi ro CNTT chính (KRI); Đánh giá rủi ro CNTT khi triển khai sản phẩm/dịch vụ CNTT mới (NPA). Xây dựng và phát triển các ứng dụng công nghệ thông tin trong quản lý rủi ro; Đề xuất các công cụ và phương pháp mới trong công tác quản lý rủi ro."
Delivery Manager,1,0.03,"As a Senior Manager , you will define business plans for your group and lead offshore business activities, including sales support, opportunity analysis, pre-study, implementation, and upgrade projects for both existing and new customers.  This is a key leadership role responsible for managing a group of managers, ensuring smooth offshore operations, achieving business targets, and overseeing projects end-to-end with a strong focus on quality, delivery, and contractual compliance.  Lead and manage offshore delivery teams across multiple projects, with a total team size of over 50 members, including business partners. Execute business strategy by business domain and prepare customer strategy by business domain, aligned with division and company objectives, including mid-term plan and demand changes. Ensure projects are delivered with high quality, on time, within budget and scope. Define countermeasures and action items with proper priority to achieve delivery performance, including quality, risks, changes, and financial status, and report to division leadership. Act as a key escalation point for delivery and customer-related issues. Maintain effective communication with customers (especially Japanese clients) and internal stakeholders. Build, mentor, and develop managers and key members through performance management and career development. Drive continuous improvement of delivery processes, quality standards, and operational KPIs. Conduct pre-sales, estimation, and proposal, including reviews for team members. Take on additional responsibilities to support operational and organizational improvement."
Hardware Engineer,1,0.03,"Design and validate PCBAs for power-critical components, including motor controllers, power converters and high-accuracy sensor circuits. Coordinate PCB layout efforts , perform design reviews, and validate prototypes through rigorous bench testing and debugging. Execute detailed validation tests , utilizing advanced instruments such as oscilloscopes, logic analyzers, spectrum analyzers, power analyzers, and EMI/EMC testing equipment . Optimize designs for thermal management, electrical noise reduction, and robust EMC compliance. Support system-level testing, including torque output measurements, temperature profiling, and reliability tests to ensure actuator performance targets. Work closely with embedded software engineers and mechanical design engineers to integrate electronic hardware seamlessly into actuator systems. Bring-up, troubleshoot integration issues, and optimize system performance across functional teams. Maintain meticulous documentation, including detailed schematics, PCB layout files, component libraries, BoM management, test procedures, and technical reports. Ensure design compliance with applicable industry standards (CE, RoHS, EMC directives) and support certification processes. Collaborate with sourcing specialists to select and evaluate component suppliers. Collaborate with manufacturing partners for PCB production and SMT assembly. Mentor and assist team members."
Head of IT,1,0.03,"Trực tiếp tham gia triển khai, điều phối theo chỉ đạo của TGĐ đối với các dự án về ERP, giải pháp văn phòng số, chuyển đổi số của công ty và các công ty con trong hệ sinh thái Fivevet. Quản trị, vận hành các hệ thống network, server, và các giải pháp ERP, văn phòng số. Hướng dẫn, hỗ trợ các PBBP ứng dụng AI rộng rãi hơn trong công việc (tạo prompt hữu hiệu, làm slides, AI agent, n8n automation v.v...), rà soát các công việc thủ công đang thực hiện trên các phần mềm và đưa ra phương pháp làm tự động trên các phần mềm, công cụ. Phân tích nhu cầu thực tế của từng phòng ban công ty để đề xuất các giải pháp tự động hóa quy trình, công nghệ phù hợp, nhằm nâng cao hiệu quả công việc Hỗ trợ, đồng thời kiểm soát, đánh giá các đơn vị dịch vụ về CNTT, camera mà công ty đang sử dụng, tiến tới kiện toàn nhân sự cho phòng CNTT. Đề xuất và triển khai các kế hoạch nhằm giúp nâng cao nhận thức, kiến thức của toàn bộ công nhân viên công ty về công nghệ, về an toàn thông tin, an ninh thông tin. Tổ chức các buổi đào tạo, hướng dẫn sử dụng công nghệ mới cho đội ngũ quản lý và nhân viên. Đánh giá, đề xuất và triển khai các giải pháp quản lý rủi ro liên quan đến Công nghệ thông tin. Thực hiện các công việc khác theo yêu cầu của TGĐ."
IP Portfolio Manager,1,0.03,"ABOUT FPT SOFTWARE FPT Software, a subsidiary of FPT Group, is a leading global IT service provider headquartered in Vietnam. With 33,000+ employees in 88 offices across 30 countries, we serve 1,100+ clients, including 96 Fortune 500 companies.  We believe diversity fuels innovation and strive to create an inclusive workplace where talents of all backgrounds thrive. We welcome expatriates and international professionals to bring fresh perspectives and help shape the future of technology.  RESPONSIBILITIES Mission: Manage IP investment at portfolio level to ensure reuse, scale, and monetization of AI-enabled solutions Govern and track IP progress across delivery units, ensuring alignment with program strategy and reuse objectives Build and maintain a centralized portfolio of AI-powered solutions, ensuring standards, interoperability, and reusability Define and enforce governance frameworks for IP lifecycle, including creation, reuse, and commercialization Oversee investment allocation for solution development, working with FSUs to avoid duplication and focus on strategic gaps Facilitate cross-FSU collaboration to accelerate development and adoption of applied AI solutions Ensure IP rights, licensing, security, and compliance across all AI-generated assets Provide portfolio insights, reporting, and recommendations to leadership to optimize ROI and strategic impact"
IT Governance,1,0.03,"Vị trí này làm việc tại Khối CNTT - GPBank HO - Thành Phố Hà Nội.  🌱 TRÁCH NHIỆM CÔNG VIỆC - Tham gia xem xét và đề xuất các cải tiến định kỳ đối với chính sách và quy trình CNTT. - Nghiên cứu và cập nhật các phương pháp và tiêu chuẩn quốc tế; hỗ trợ việc áp dụng chúng trong các quy trình vận hành CNTT. - Hỗ trợ phối hợp với các bộ phận Pháp lý, Kinh doanh và CNTT để đánh giá tác động của các văn bản pháp lý và tổng hợp các báo cáo tuân thủ. - Chuẩn bị các báo cáo định kỳ và đột xuất để trình Ngân hàng Nhà nước Việt Nam và các cơ quan có thẩm quyền. - Tham gia vào việc phát triển và triển khai các chương trình kiểm tra tuân thủ CNTT nội bộ. - Phối hợp và tổ chức các chương trình truyền thông và đào tạo về tuân thủ CNTT. - Hỗ trợ quản lý Sổ đăng ký rủi ro CNTT; giám sát các biện pháp khắc phục và cập nhật báo cáo tình trạng. - Hỗ trợ điều phối các cuộc thanh tra, kiểm tra và đánh giá liên quan đến việc tuân thủ quy định CNTT."
Mainframe Engineer,1,0.03,"Analyze existing mainframe systems, including COBOL programs, JCL jobs, batch processes, and database structures. Review and understand legacy source code, business logic, data flow, and system dependencies. Lead technical investigation and provide solutions for system reform, migration, enhancement, and maintenance projects. Provide technical guidance to team members and review their work to ensure quality and consistency. Troubleshoot and resolve system issues, defects, batch job errors, and production incidents. Prepare or review technical documents, design documents, investigation reports, and migration analysis documents. Coordinate with stakeholders to ensure smooth project delivery following SDLC processes."
PMO Manager,1,0.03,"Mynavi TechTus Vietnam is looking for a PMO Manager who is responsible for establishing and operating the project management system to ensure all projects are delivered on time, within budget, and to the highest quality standards. This role serves as a strategic bridge between Senior Management and the Project Operations team, focusing on optimizing operational efficiency, quality, and cost-effectiveness. Process Development & Standardization Establish the Project Management Framework , including processes, templates, and reporting standards Ensure consistent adoption across the project portfolio Monitoring & Risk Management Track project progress, quality, cost, and resource utilization Identify risks, manage risk mitigation plans , and provide timely reporting Resource Optimization Analyze capacity and resource allocation Propose effective resource allocation strategies to support project demands Technology & Automation Adoption Implement and optimize project management tools (e.g., Jira, Backlog, etc. ) Apply automation / AI for tracking, dashboarding, and reporting Strategic Reporting Build and maintain dashboards and KPI reports Provide insights into project health and team performance for leadership"
AI Architect,1,0.03,"We are seeking a Principal Architect to define and own the architecture of our Unified Edge AI Engine . In this role, you will design the software backbone that orchestrates the entire lifecycle of video analytics on embedded hardware. You will act as the bridge between Systems Engineering and AI Research. Your mission is to build a modular, graph-based execution engine that balances massive data throughput with limited compute resources, enabling advanced AI models (optimized via quantization/pruning) to run in real-time across diverse hardware platforms.  Scope of Responsibilities/Expectations: Pipeline Engine Architecture: Architect a modular, high-throughput Video & AI Pipeline Engine. Design the framework for dynamic graph construction (DAG) where AI models, logic nodes, and image processing blocks can be assembled and executed efficiently. Heterogeneous Resource Orchestration: Design the scheduling logic to balance workloads across CPU, GPU, DSP, and NPU. manage critical system bottlenecks such as PCIe Bandwidth, Memory Bandwidth, and Thermal constraints to prevent system stalls. AI Optimization Strategy: Define the architectural support for Model Quantization (INT8/FP16) and Network Pruning. Ensure the engine can natively handle optimized model formats, managing the trade-off between inference speed, memory footprint, and accuracy. Memory & Data Flow Design: Architect zero-copy data transport mechanisms (DMA, Shared Memory, Ring Buffers) to pass high-resolution video frames and tensor data between pipeline stages without CPU intervention. Scalability & Abstraction: Create a hardware-agnostic Abstraction Layer (HAL) that allows the engine to scale from low-power cameras to high-performance AI processors with minimal code changes."
IT Delivery Manager,1,0.03,"Job Overview ITviec's client is looking for a visionary and battle-tested Senior Manager to spearhead our offshore business operations and lead high-impact delivery teams in Hanoi. In this pivotal leadership role, you will define strategic business plans, oversee end-to-end multi-project execution, and optimize a large-scale delivery division of over 60 members (comprising internal engineers and external partners). This role focuses entirely on delivery excellence, operational efficiency, and high-level client collaboration without any cold-sales or active client acquisition pressure.  Key Responsibilities Strategic Division Leadership: Define and execute mid-term business plans aligned with corporate division objectives; prepare client retention and domain-specific strategies. Large-scale Delivery Management: Oversee and optimize multi-project offshore operations with a total team size of 60 members, ensuring seamless collaboration between internal delivery units and external vendor partners. Quality & Financial Compliance: Drive project delivery to achieve high quality, on-time, and within budget/scope targets. Define priority action items, manage risks, and control budgets effectively. Executive Stakeholder Relations: Act as the ultimate escalation point for delivery issues; maintain fluent, high-level communication and negotiation with Japanese clients and corporate executive leadership. People & Process Development: Mentor, build, and foster leadership capabilities for sub-managers and key team members through performance and career development frameworks. Drive continuous optimization of KPIs and quality standards. Pre-sales Support: Oversee technical estimation, pre-sales analysis, and proposal preparation for upcoming corporate projects."
IT Infrastructure Engineer,1,0.03,"Gene Solutions is a leading company in Vietnam specializing in the research, development and application of the most advanced genetic tests, providing genetic testing services for screening, diagnosis and treatment orientation. Over the years, Gene Solutions has continuously developed and invested in building a strong and excellent R&D team, focusing on research and application of useful technologies that have been certified in the world to bring latest genetic testing and services, with the best quality at the most affordable cost, increasing Vietnamese people's access to essential genetic tests for prevention, examination and treatment, improving the quality of medical examination and treatment, contributing to the quality of medical services and health for the community. ROLE SUMMARY Location: Ho Chi Minh City Reports to: IT Director The IT Infrastructure Senior Manager will lead and oversee the company’s entire IT infrastructure, including systems administration, network architecture, virtualization, and cloud platforms across all operating countries. This role ensures high availability, security, and scalability of IT systems to support business operations and strategic growth. The position will manage a team of system administrators and network engineers, lead infrastructure implementations in Vietnam and other countries, and collaborate with cross-functional teams and external partners in Vietnam and overseas. RESPONSIBILITIES Develop technical strategies, plans and cost-effective solutions to execute and enhance IT infrastructure in alignment with business objectives. Lead data center management, IT operations, infrastructure architecture design and implementation, and disaster recovery planning to ensure that infrastructure capacity aligns with business needs and future growth. Ensure IT systems and networks operate smoothly and continuously with nearly zero downtime. Ensure system security hardening and compliance with company security policies. Establish and enforce IT policies, standards, and best practices. Be willing to get involved in project and technical matters, take a hands-on approach to project management, and roll up your sleeves to get your hands dirty when necessary. Lead infrastructure projects from planning to execution in Vietnam and other countries. Manage and mentor a small team, ensuring high performance and continuous development. Collaborate with internal stakeholders and external partners to deliver projects on time and within budget."
Software Development Manager,1,0.03,"Who Are We Hansen Technologies is a leading global provider of software and services that enable organisations to transform customer experiences and streamline critical business processes. With a rich history of innovation and a footprint that spans over 80 countries, Hansen empowers utilities, energy, and communications companies to thrive in an ever-evolving digital landscape. Our commitment to excellence, customer focus, and collaborative culture makes Hansen a place where passionate professionals can make a meaningful impact, drive real change, and help shape the future of industries worldwide.  We are proud to be an equal opportunities employer. Hansen prides itself on celebrating diversity and is committed to creating an inclusive environment for all employees, even extending this to how we work with our customers, partners, and suppliers. We welcome applications from all qualified candidates, regardless of age, disability, gender identity or expression, marital status, race, ethnicity, religion or belief, sexual orientation, or any other protected characteristic. If you require any adjustments or accommodation during the recruitment process, please let us know.  Why This Role Matters  Lead, Inspire, Transform, Deliver.  At Hansen, our software powers critical services for industries that keep the world running. As a Senior Software Development Manager , you will play a pivotal role in shaping the future of our CIS-HU engineering capability , leading distributed teams across Vietnam and Australia.  This is more than a leadership role—it's an opportunity to build high-performing engineering teams, elevate technical capability, and drive delivery excellence at scale . You will influence how we adopt AI-assisted development, modern cloud platforms, and best-in-class engineering practices to innovate faster and deliver greater value to customers.  Your leadership will directly impact how our teams perform, how our products evolve, and how we deliver secure, scalable, and reliable solutions across global markets.  What You’ll Do Lead Engineering Teams: Develop and mentor Technical Leads and engineering teams across a distributed structure, driving high performance and engagement. Drive Delivery Excellence: Oversee planning, execution, and delivery across multiple teams, ensuring alignment with business priorities and customer commitments. Advance AI & Productivity: Embed AI-assisted engineering practices to enhance development efficiency, quality, and innovation. Strengthen Technical Capability: Champion modern cloud (AWS) and engineering practices including microservices, APIs, CI/CD, and automation. Collaborate Across Functions: Work closely with Product, Architecture, QA, DevOps, and Delivery to ensure cohesive execution and outcomes. Enhance Quality & Standards: Establish and maintain strong engineering standards, focusing on scalability, security, and performance. Manage Risk & Improve Continuously: Proactively identify delivery risks, resolve issues, and drive continuous improvement across teams."
Windows Application Developer,1,0.03,"Develop Windows applications using C++ and Qt framework. Work directly with customers to define and clarify requirements. Work closely with world class developers from customer side to develop enterprise applications for customer worldwide. Clarify customer specifications and make questions directly if have. Develop software modules based on designs. Responsible for quality of product, quality of code by running reviews, … Daily meeting for reporting and escalating issues/risks."
