final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
e invoice,Domain Knowledge,5,5,3,2,hiểu biết về nghiệp vụ|điều hành nghiệp vụ|Phân tich nghiệp vụ|yêu cầu nghiệp vụ|E-invoice
cosmosdb,Database,5,3,4,1,Cosmos DB|CosmosDB|Cosmos SDK
ux analytics,Design & UX,5,3,4,1,analytics platforms|UX Analytics|advanced analytics
jaeger,Infrastructure & DevOps,5,1,4,1,Jaeger
debugging tools,Tool & Platform,5,3,5,0,debugging skills|Debugging Tools|debugging tools
solr,Database,5,2,3,2,Solr|SOLR
istqb foundation,Other,5,1,0,5,ISTQB Foundation
database testing,Testing & QA,5,3,5,0,kiểm thử Database|Database testing|database testing
hmi,Embedded & Firmware,5,1,4,1,HMI
monolith,Engineering Concepts & Methodologies,5,4,5,0,Monolitic|Monolith|monolith|Monorepos
xây dựng mối quan hệ,Soft Skill,5,3,5,0,xây dựng mối quan hệ|xây dựng và duy trì các mối quan hệ|xây dựng và duy trì mối quan hệ
product operations,Domain Knowledge,5,3,4,1,Product Operations|vận hành sản phẩm|vận hành product Saas
sản phẩm công nghệ,Domain Knowledge,5,3,4,1,sản phẩm công nghệ|phát triển và quản lý sản phẩm công nghệ|phát triển sản phẩm công nghệ
xử lý sự cố hệ thống,Infrastructure & DevOps,5,2,5,0,hệ thống hóa vấn đề|xử lý sự cố hệ thống
it operations,Infrastructure & DevOps,5,2,4,1,IT operations|IT Operations
multi tenant architecture,Engineering Concepts & Methodologies,5,3,2,3,Multi-tenant architecture|multi-tenant systems|multi-tenant system design
strategic planning,Soft Skill,5,4,5,0,"lên kế hoạch, chiến lược & chiến thuật|hoạch định chiến lược|strategic planning|lập kế hoạch chiến lược"
unity engine,Tool & Platform,5,2,5,0,Unity Engine|Unity engine
defect tracking tool,Testing & QA,5,4,5,0,Defect Tracking|defect tracking tool|defect tracking tools|tracking defects
ai code assistant,Tool & Platform,5,4,3,2,AI code assistant|AI Code Assistant|AI Coding Assistant|AI coding assistant
documentation skills,Soft Skill,5,2,5,0,documentation skills|documentation abilities
qnx,Tool & Platform,5,1,2,3,QNX
dynatrace,Infrastructure & DevOps,5,1,3,2,Dynatrace
flexray,Embedded & Firmware,5,2,5,0,FlexRay|Flexray
lending,Domain Knowledge,5,2,4,1,Lending|lending
open source,Engineering Concepts & Methodologies,5,5,3,2,open source|open-source|hệ thống mã nguồn mở|LLM mã nguồn mở|mã nguồn mở
thu thập dữ liệu,Data Engineering & Analytics,5,3,4,1,thu thập dữ liệu|truy vấn dữ liệu|tìm kiếm dữ liệu
unreal engine,Tool & Platform,5,3,4,1,Unreal Engine|Unreal Engine 4|Unreal Engine 5
tích hợp sdk,Engineering Concepts & Methodologies,5,1,5,0,tích hợp SDK
crypto,Domain Knowledge,5,2,1,4,crypto|Crypto
iso 27001 lead auditor,Other,5,4,0,5,ISO 27001 Lead Auditor|ISO27001 Lead Auditor|ISO 27001 Lead Implementer/Lead Auditor|ISO 27001 Lead Implementer/Auditor
loyalty,Domain Knowledge,5,1,1,4,Loyalty
deep linking,Engineering Concepts & Methodologies,5,2,2,3,deep linking|Deep Linking
internal tools,Tool & Platform,5,3,1,4,internal tools|xây dựng các công cụ nội bộ|develop internal tools
f5,Infrastructure & DevOps,5,1,4,1,F5
testable code,Testing & QA,5,2,5,0,testable code|writing test code
open source models,AI/ML/Data,5,4,2,3,open-source models|open source models|triển khai và vận hành các mô hình LLM mã nguồn mở|mô hình mã nguồn mở
managing large scale projects,Soft Skill,5,5,2,3,quản lý các dự án phức tạp liên quan đến AI|quản trị đa dự án|quản lý những dự án lớn|managing large-scale projects|quản lý nhiều project
ibm mq,Infrastructure & DevOps,5,1,5,0,IBM MQ
multiplayer,Domain Knowledge,5,4,4,1,Multiplayer|multiplayer|multiplayer features|multiplayer game programming
data synchronization,Engineering Concepts & Methodologies,5,3,5,0,synchronization|data synchronization|Synchronization technologies
high throughput systems,Engineering Concepts & Methodologies,5,3,4,1,high-throughput systems|high-throughput APIs|High-throughput
model serving,Infrastructure & DevOps,5,3,2,3,Model serving|model serving|model serving systems
xử lý âm thanh,AI/ML/Data,5,2,5,0,Xử lý Âm thanh|xử lý âm thanh
object detection,AI/ML/Data,5,2,4,1,Object Detection|object detection
lazy loading,Engineering Concepts & Methodologies,5,2,4,1,Lazy Loading|lazy loading
quản trị tài chính doanh nghiệp,Domain Knowledge,5,3,4,1,quản lý tài chính mua sắm|quản lý tài chính|quản trị tài chính doanh nghiệp
hooks,Framework / Library,5,2,5,0,Hooks|hooks
uds,Other,5,1,3,2,UDS
object pool,Engineering Concepts & Methodologies,5,2,5,0,Object pool|Object Pool
xử lý phần cứng máy tính,IT Support & Hardware,5,4,5,0,xử lý phần cứng máy tính|lắp ráp phần cứng máy tính|Lắp đặt phần cứng máy tính|phần cứng máy chủ
ai coding,Engineering Concepts & Methodologies,5,3,5,0,Coding Convention|chuẩn coding|AI coding
hệ thống quản trị,Domain Knowledge,5,5,4,1,quản trị vận hành hệ thống|Quản lý và vận hành hệ thống|hệ thống quản trị|hệ thống quản lý công|quản trị hệ điều hành
vertex ai,AI/ML/Data,5,1,3,2,Vertex AI
functional programming,Engineering Concepts & Methodologies,5,3,2,3,functional specification|functional programming|Functional Programming
designing mobile applications,Design & UX,5,3,4,1,thiết kế mobile app|designing mobile applications|Thiết kế hệ thống Mobile
ai security,Infrastructure & DevOps,5,4,3,2,iOS security|UI security|AI security|AI/LLM security
cloud azure,Infrastructure & DevOps,5,3,1,4,"Cloud Azure|Cloud (AWS, OCI, Azure)|Cloud AWS/Azure"
ios sdk,Framework / Library,5,1,5,0,iOS SDK
opensearch,Database,5,1,4,1,OpenSearch
financial market,Domain Knowledge,5,4,1,4,dự án tài chính – chứng khoán|financial market|tài chính – chứng khoán|tài chính/chứng khoán
cryptography,Infrastructure & DevOps,5,3,3,2,cryptography|Cryptography|cryptographic fundamentals
prd,Engineering Concepts & Methodologies,5,1,5,0,PRD
self research,Soft Skill,5,3,4,1,tự nghiên cứu|Tự học hỏi|self-research
aws lambda,Infrastructure & DevOps,5,1,4,1,AWS Lambda
development,Other,5,3,3,2,quy trình phát triển|development|phát triển
thiết kế về giao diện game trên mobile,Design & UX,5,4,4,1,thiết kế game di động|thiết kế về giao diện game trên Mobile|thiết kế và phát triển game trên di động|thiết kế đồ họa cho game mobile
ui testing,Testing & QA,5,2,4,1,UX/UI testing|UI testing
mrp,Domain Knowledge,5,1,5,0,MRP
supervised learning,AI/ML/Data,5,2,5,0,Supervised learning|Supervised Learning
on premise,Infrastructure & DevOps,5,4,2,3,on-premise|On-Premise|On-premise|on-premise system
mfa,Infrastructure & DevOps,5,1,3,2,MFA
self learn,Soft Skill,5,2,5,0,tự học|self-learn
xử lý lỗi kỹ thuật,IT Support & Hardware,5,3,4,1,xử lý lỗi kỹ thuật|công cụ quản lý lỗi|quản lý lỗi
arc,Engineering Concepts & Methodologies,5,1,5,0,ARC
usb,Embedded & Firmware,5,1,3,2,USB
bug tracking,Tool & Platform,5,4,5,0,bug tracking|Bug Tracking|Bug Tracking tools|bug tracking tools
quản trị hệ thống it,IT Support & Hardware,5,5,3,2,quản trị hệ thống IT|hỗ trợ vận hành hệ thống|vận hành công tác IT Hệ thống|vận hành hệ thống IT|hỗ trợ và vận hành hệ thống IT
sap basis,Tool & Platform,5,3,3,2,SAP Basis|SAP Basis concepts|SAP implementation
real time,Engineering Concepts & Methodologies,5,4,4,1,real-time|Real-time|realtime|real-time OS
hệ thống giao dịch,Domain Knowledge,5,3,2,3,nền tảng giao dịch|hệ thống giao dịch|quy trình xử lý giao dịch
nats,Infrastructure & DevOps,5,1,4,1,NATS
phân tích hành vi,Soft Skill,5,5,5,0,"phân tích hành vi|phân tích tính năng|phân tích hiện trạng|phân tích và định lượng|đánh giá, phân tích"
midjourney,Tool & Platform,5,1,4,1,Midjourney
nist cybersecurity framework,Other,5,5,3,2,NIST CyberSecurity Framework|NIST Cybersecurity Framework|cybersecurity principles|cybersecurity frameworks|cybersecurity best practices
configuration management,Infrastructure & DevOps,5,2,2,3,configuration management|configuration management tools
viewbinding,Framework / Library,5,4,4,1,Custom view|ViewBinding|Custom View|ViewComponent
xử lý sự cố mạng,Infrastructure & DevOps,5,2,5,0,xử lý sự cố mạng|phân tích và khắc phục sự cố mạng
phân loại hình ảnh,AI/ML/Data,5,4,5,0,phân loại hình ảnh|phân cấp hình ảnh|chỉnh sửa ảnh|phân đoạn hình ảnh
solidworks,Tool & Platform,5,3,5,0,SolidWorks|SOLIDWORKS|Solidworks
programming principles,Engineering Concepts & Methodologies,5,4,4,1,programming fundamentals|Programming Principles|programming principles|programming concepts
marketing automation,Domain Knowledge,5,3,2,3,marketing automation|Marketing Automation|sales automation
devexpress,Framework / Library,5,2,4,1,Devexpress|DevExpress
pic,Embedded & Firmware,5,1,4,1,PIC
arm,Embedded & Firmware,5,1,4,1,ARM
hybrid,Engineering Concepts & Methodologies,5,2,4,1,hybrid|Hybrid
ollama,Tool & Platform,5,1,1,4,Ollama
kicad,Tool & Platform,5,2,4,1,KiCad|KiCAD
công cụ kiểm thủ,Testing & QA,5,3,0,5,công cụ kiểm thủ|công cụ kiểm thử hiệu năng|công cụ kiểm thử
korean language,Soft Skill,5,1,0,5,Korean language
ai chatbots,AI/ML/Data,5,5,4,1,xây dựng chatbot|công cụ xây dựng chatbot|AI chatbots|AI Chatbots|AI chatbot systems
ai copilots,Tool & Platform,5,4,4,1,AI copilots|AI Copilot|CopilotKit|copilots
automotive software development,Domain Knowledge,5,4,1,4,phát triển phần mềm nhúng cho xe|automotive software development|Automotive Software Development|phần mềm ô tô
mvc framework,Engineering Concepts & Methodologies,5,4,4,1,MVC framework|MVC Framework|MFC Framework|Net MVC Framework
3d,Design & UX,5,1,2,3,3D
network design,Infrastructure & DevOps,5,4,4,1,kiến trúc hệ thống mạng|network design|network configuration|network architecture
rpa,Tool & Platform,5,1,2,3,RPA
v model,Other,5,3,2,3,V-model|V-Model|V model
nagios,Infrastructure & DevOps,5,1,4,1,Nagios
chứng chỉ aws,Other,5,2,1,4,chứng chỉ AWS|Chứng chỉ AWS
nunit,Testing & QA,5,1,5,0,NUnit
xray,Testing & QA,5,1,5,0,Xray
ngrx,Framework / Library,5,1,3,2,NgRx
design and modeling tools,Tool & Platform,5,5,2,3,công cụ mô hình hóa|design and modeling tools|Design and Modeling Tools|modeling tools|Model serving tools
azure openai,AI/ML/Data,5,1,3,2,Azure OpenAI
tối ưu cơ sở dữ liệu,Engineering Concepts & Methodologies,5,4,4,1,tối ưu hiệu suất cơ sở dữ liệu|tối ưu cơ sở dữ liệu|tối ưu hóa hiệu suất cơ sở dữ liệu|tối ưu hóa database
react testing library,Testing & QA,5,2,4,1,React Testing Library|react-testing-library
docker compose,Infrastructure & DevOps,5,2,4,1,Docker Compose|docker-compose
retention,Design & UX,5,3,5,0,Retention|retention|retention principles
viper,Engineering Concepts & Methodologies,5,1,5,0,VIPER
làm việc với khách hàng doanh nghiệp,Soft Skill,5,3,0,5,làm việc với khách hàng doanh nghiệp|khách hàng doanh nghiệp|nhân viên kinh doanh
triển khai erp,Domain Knowledge,5,1,3,2,triển khai ERP
nghiệm thu sản phẩm,Testing & QA,5,1,5,0,nghiệm thu sản phẩm
requirement engineering,Engineering Concepts & Methodologies,5,4,5,0,requirement engineering|Requirements Engineering|requirements engineering|requirements definition
logstash,Infrastructure & DevOps,5,2,5,0,Logstash|LogRhythm
adk,AI/ML/Data,5,1,5,0,ADK
celery,Framework / Library,5,1,3,2,Celery
pinia,Framework / Library,5,1,4,1,Pinia
vuex,Framework / Library,5,1,5,0,Vuex
thiết kế hướng đối tượng,Engineering Concepts & Methodologies,5,2,4,1,thiết kế hướng đối tượng|thiết kế động và trực quan
design principles,Design & UX,5,4,4,1,nguyên tắc thiết kế|UX/UI design principles|UI design principles|Design Principles
database servers,Database,5,3,5,0,Database Servers|database servers|Database Server
eloquent orm,Framework / Library,5,2,5,0,Eloquent ORM|Odoo ORM
emr,Domain Knowledge,5,1,4,1,EMR
rxswift,Framework / Library,5,1,2,3,RxSwift
routing & switching,Infrastructure & DevOps,5,2,5,0,Routing & Switching|Routing/Switching
azure networking,Infrastructure & DevOps,5,4,4,1,Azure Networking|Azure networking|AWS Networking|AWS networking
event sourcing,Engineering Concepts & Methodologies,5,3,4,1,Event sourcing|event sourcing|Event Sourcing
network monitoring tools,Infrastructure & DevOps,5,2,3,2,network monitoring tools|network monitoring solutions
xử lý phần cứng,IT Support & Hardware,5,5,5,0,xử lý vấn đề với phần cứng|xử lý các vấn đề liên quan đến phần cứng|xử lý phần cứng|xử lý các sự cố phần cứng|xử lý sự cố phần cứng
xử lý sự cố máy tính,IT Support & Hardware,5,4,4,1,xử lý vấn đề với máy tính|xử lý sự cố về máy tính|xử lý sự cố máy tính|xử lý lỗi máy tính
agile certification,Other,5,4,0,5,Agile certifications|Agile certification|Agile Certification|Agile Certified Practitioner
native,Other,5,2,5,0,native|Native
nmap,Testing & QA,5,1,5,0,Nmap
secure storage,Infrastructure & DevOps,5,2,2,3,secure storage|Secure Storage
wms,Domain Knowledge,5,1,4,1,WMS
phân tích tài liệu,Engineering Concepts & Methodologies,5,2,5,0,phân tích và lập tài liệu|phân tích tài liệu
ai safety,AI/ML/Data,5,2,3,2,AI Safety|AI safety
pam,Infrastructure & DevOps,5,1,5,0,PAM
contracts,Domain Knowledge,5,3,5,0,contracts|API contracts|API Contracts
java ee,Framework / Library,5,1,4,1,Java EE
quản lý quy trình,Engineering Concepts & Methodologies,5,4,3,2,quản lý quy trình|xây dựng và quản lý quy trình|xây dựng hoặc quản lý quy trình|quản trị quy trình
data guard,Database,5,2,5,0,Data Guard|Active Data Guard
face detection,AI/ML/Data,5,4,4,1,Face Recognition|face detection|Face detection|nhận diện khuôn mặt
firebase cloud messaging,Infrastructure & DevOps,5,2,3,2,Firebase Cloud Messaging|Firebase Messaging
multi tenant saas,Domain Knowledge,5,3,0,5,SaaS multi-tenant|multi-tenant SaaS|multi-tenant
màu sắc,Design & UX,5,2,5,0,Màu sắc|màu sắc
design,Design & UX,5,2,2,3,Design|design
service,Framework / Library,5,2,5,0,service|Service
google apps script,Programming Language,5,2,4,1,Google Apps Script|Google App Script
csrf,Infrastructure & DevOps,5,1,4,1,CSRF
interaction design,Design & UX,5,3,5,0,thiết kế interaction|thiết kế tương tác|interaction design
forecasting,AI/ML/Data,5,4,3,2,forecasting models|forecasting|dự báo|Forecasting
android automotive,Domain Knowledge,5,2,1,4,Android Auto|Android Automotive
decree 13 2023 nđ-cp,Other,5,2,2,3,Decree 13/2023/NĐ-CP|Nghị định 13/2023/NĐ-CP
e2e test,Testing & QA,5,4,3,2,e2e test|E2E testing|E2E testing tools|E2E test suites
đọc hiểu tài liệu nghiệp vụ,Soft Skill,5,3,5,0,đọc hiểu tài liệu nghiệp vụ|đọc hiểu tài liệu chuyên môn|đọc hiểu tốt các tài liệu
backend engineering,Domain Knowledge,5,3,5,0,Backend Engineering|backend engineering|xây dựng backend
defect management,Testing & QA,5,3,5,0,defect management processes|defect management|defect management tools
web server,Infrastructure & DevOps,5,2,4,1,Web Server|web servers
kiểm thử dữ liệu,Testing & QA,5,3,4,1,kiểm tra dữ liệu|Kiểm thử dữ liệu|kiểm thử dữ liệu
quicksight,Data Engineering & Analytics,5,4,3,2,Quick Sight|QuickSight|AWS QuickSight|AWS Quicksight
bitrise,Infrastructure & DevOps,5,1,4,1,Bitrise
ai driven testing,Testing & QA,5,5,2,3,AI-assisted testing|AI-driven testing|AI‑assisted testing|AI-assisted testing tools|AI-supported testing
vxlan,Infrastructure & DevOps,5,2,3,2,VXLAN|VxLAN
aws cloud platform,Infrastructure & DevOps,4,4,2,2,AWS cloud technology|AWS cloud services|AWS Cloud platform|Cloud Infrastructure (AWS)
misa,Domain Knowledge,4,1,0,4,Misa
task prioritization,Soft Skill,4,3,4,0,prioritize and execute tasks|Task prioritization|prioritize tasks
microsoft certified,Other,4,2,0,4,Microsoft Certified|Microsoft Azure certifications
hệ thống mạng máy tính,Infrastructure & DevOps,4,3,2,2,hệ thống mạng máy tính|chứng chỉ Mạng máy tính|quản trị mạng máy tính
tư duy khách hàng,Soft Skill,4,4,4,0,Tư duy & hành động hướng khách hàng|tư duy hướng tới khách hàng|tư duy khách hàng|Tư duy khách hàng
diagnostic,Embedded & Firmware,4,3,2,2,Diagnostic Development|Diagnostic|Diagnostics
hoạch định công việc,Soft Skill,4,4,4,0,lên kế hoạch và thực thi công việc|làm việc theo kế hoạch|lên kế hoạch công việc|hoạch định công việc
lập trình nhúng,Embedded & Firmware,4,2,4,0,lập trình nhúng|lập trình hệ thống nhúng
3d graphics,Design & UX,4,4,2,2,đồ họa 2D/3D trên hệ thống nhúng|3D animation|Xử lý đồ họa 3D|3D graphics
video call,Domain Knowledge,4,3,2,2,Video Call|video call|video call/voice call
kong,Infrastructure & DevOps,4,2,4,0,Kong|kong
thị trường game mobile,Domain Knowledge,4,3,4,0,thị trường game mobile|thị trường Game Mobile|cảm quan thị trường mobile game
ads tech,Domain Knowledge,4,4,2,2,Ad Network|ads tech|Ads Network|Ads Platform API
mentoring engineers,Soft Skill,4,2,3,1,mentoring engineers|mentor engineers
relational database design,Database,4,3,4,0,Relational database design|relational database design|Relational database modeling & design
maintainable code,Engineering Concepts & Methodologies,4,2,4,0,code maintainability|maintainable code
nền tảng số,Domain Knowledge,4,2,1,3,nền tảng số|nền tảng số hóa
in app purchase,Domain Knowledge,4,3,3,1,In-App Purchase|In-app purchase|In-App Purchase (IAP)
"làm công văn, tờ trình, báo cáo",Soft Skill,4,4,4,0,"viết báo cáo và tổng hợp thông tin|làm công văn, tờ trình, báo cáo|viết và trình bày báo cáo kỹ thuật|viết báo cáo và tài liệu kỹ thuật"
qradar,Tool & Platform,4,2,3,1,Qradar|QRadar
cấu hình thiết bị mạng,Infrastructure & DevOps,4,4,4,0,cấu hình thiết bị mạng|cấu hình phần cứng mạng|cấu hình và quản lý thiết bị mạng|cấu hình các thiết bị mạng
trung gian thanh toán,Domain Knowledge,4,4,2,2,Chu kỳ thanh toán|trung gian thanh toán|Trung gian thanh toán|thanh toán số
network service provider,Infrastructure & DevOps,4,2,4,0,Network Support|Network Service Provider
performance analysis,Engineering Concepts & Methodologies,4,3,4,0,performance analysis|performance patterns|performance engineering
langfuse,AI/ML/Data,4,1,2,2,Langfuse
backend api,Engineering Concepts & Methodologies,4,3,4,0,backend API|Backend API|BackEnd API
3d gameplay,Domain Knowledge,4,4,3,1,phát triển game 2D hoặc 3D|3D gameplay|lập trình Game 3D|game/sản phẩm 3D
quản lý dự án công nghệ,Soft Skill,4,3,4,0,quản lý dự án công nghệ thông tin|quản lý dự án công nghệ|Quản lý dự án công nghệ
banking or financial sector,Domain Knowledge,4,3,3,1,ngân hàng hoặc tổ chức tài chính|Banking or Financial sector|banking or financial sector
"clean, maintainable code",Engineering Concepts & Methodologies,4,3,4,0,"Viết code rõ ràng, dễ bảo trì|clean, maintainable, and scalable code|clean, maintainable code"
langsmith,AI/ML/Data,4,1,4,0,LangSmith
j2ee,Framework / Library,4,1,4,0,J2EE
team cooperation,Soft Skill,4,3,4,0,team cooperation|cooperate with the team|phối hợp tốt với đồng đội
game casual puzzle,Domain Knowledge,4,3,2,2,game casual/puzzle|game Casual / Puzzle|casual and puzzle games
api based architectures,Engineering Concepts & Methodologies,4,3,4,0,API-based architecture|API-based architectures|API-driven architecture
ai ml projects,AI/ML/Data,4,2,1,3,AI-related projects|AI/ML projects
chứng chỉ đào tạo về kiểm thử,Other,4,2,0,4,chứng chỉ các khóa học kiểm thử|chứng chỉ đào tạo về kiểm thử
backup data,IT Support & Hardware,4,4,4,0,Backup dữ liệu|backup data|backup systems|backup architecture
ragas,AI/ML/Data,4,2,2,2,Ragas|RAGAS
azure service bus,Infrastructure & DevOps,4,2,2,2,Azure Service Bus|Service Bus
ltv,Domain Knowledge,4,1,3,1,LTV
ai assistant,AI/ML/Data,4,4,1,3,AI assistant|AI Assistant|trợ lý AI|Trợ lý AI
spa,Engineering Concepts & Methodologies,4,1,3,1,SPA
data masking,Tool & Platform,4,1,2,2,Data Masking
segmentation,AI/ML/Data,4,2,4,0,segmentation|Segmentation
scrum agile,Engineering Concepts & Methodologies,4,4,1,3,Scrum Agile|Agile – Scrum|Agile/Scrum Master|Agile (SCRUM)
product lifecycle,Engineering Concepts & Methodologies,4,4,2,2,ML/AI product lifecycle|Product Lifecycle|product lifecycle|0-to-1 product lifecycle
base,Tool & Platform,4,1,2,2,Base
ad monetization,Domain Knowledge,4,4,3,1,Ads Monetization|ads monetization|Ad Monetization|ad monetization
step function,Infrastructure & DevOps,4,4,3,1,Step Functions|Step function|Step Function|stepFunction
istqb advanced,Other,4,3,1,3,ISTQB Advanced|ISTQB Advanced Level|ISTQB Advanced level
consumer finance,Domain Knowledge,4,4,0,4,tín dụng tiêu dùng|tài chính tiêu dùng|Tài chính tiêu dùng|consumer finance
extreme,Infrastructure & DevOps,4,1,4,0,Extreme
dữ liệu tài chính,Domain Knowledge,4,3,2,2,dữ liệu tài chính|chuẩn dữ liệu tài chính|phân tích dữ liệu tài chính
thiết kế testcase,Testing & QA,4,2,4,0,thiết kế testcase|tạo ma trận testcase
cyber security,Infrastructure & DevOps,4,3,3,1,Kubernetes Security|Cyber Security|cyber security
slas,IT Support & Hardware,4,1,4,0,SLAs
liquibase,Tool & Platform,4,1,3,1,Liquibase
sca,Testing & QA,4,1,3,1,SCA
concurrency control,Engineering Concepts & Methodologies,4,3,3,1,concurrency control|concurrency programming|concurrency processing
ibm datastage,Data Engineering & Analytics,4,4,4,0,IBM datastage|IBM Datastage|IBM DataStage|IBM Data stage
xây dựng hệ thống vận hành,Infrastructure & DevOps,4,2,4,0,xây dựng hệ thống vận hành|xây dựng và triển khai hệ thống ML/AI
viết tài liệu dự án,Engineering Concepts & Methodologies,4,3,4,0,viết tài liệu dự án|viết tài liệu quản lý dự án|Viết tài liệu quản lý dự án
batch,Testing & QA,4,2,3,1,Batch|batch
viết hướng dẫn sử dụng,Engineering Concepts & Methodologies,4,4,3,1,viết hướng dẫn sử dụng|soạn thảo tài liệu hướng dẫn sử dụng|viết tài liệu hướng dẫn|viết tài liệu hướng dẫn sử dụng
frontend web,Domain Knowledge,4,4,3,1,Frontend Web|frontend web responsive|Web frontend|frontend web development
bank projects,Domain Knowledge,4,2,0,4,dự án ngân hàng|Bank projects
archimate,Tool & Platform,4,1,1,3,ArchiMate
redis queue,Infrastructure & DevOps,4,3,1,3,Azure Queues|Redis Queue|Redis/Queue
system operations,Infrastructure & DevOps,4,3,4,0,Operations systems|System Operations|system operations
finance banking domain,Domain Knowledge,4,3,1,3,Finance domain|finance/banking domain|banking domains
background tasks,Engineering Concepts & Methodologies,4,3,4,0,Background Tasks|background tasks|background task
dẫn dắt nhóm,Soft Skill,4,2,3,1,Lead nhóm|dẫn dắt nhóm
delivery,Domain Knowledge,4,2,1,3,Delivery|delivery
bảo mật ứng dụng web,Infrastructure & DevOps,4,2,4,0,bảo mật ứng dụng Web|bảo mật web
viết các tài liệu đặc tả yêu cầu,Engineering Concepts & Methodologies,4,3,4,0,"viết các tài liệu đặc tả yêu cầu|viết tài liệu đặc tả yêu cầu|viết tài liệu, mô tả yêu cầu"
obfuscation,Engineering Concepts & Methodologies,4,3,4,0,code obfuscation|obfuscation|Obfuscation
playable ads,Domain Knowledge,4,2,4,0,playable ads|playable ad
thu thập và phân tích số liệu,Data Engineering & Analytics,4,3,4,0,"Phân tích, tổng hợp số liệu|thu thập và phân tích số liệu|công cụ phân tích số liệu"
unit integration tests,Testing & QA,4,4,4,0,Unit/integration testing|unit/integration tests|unit & integration testing|unit and integration tests
style component,Framework / Library,4,3,4,0,style-component|styled component|Styled Component
gan,AI/ML/Data,4,2,4,0,GAN|GaN
saas platform,Domain Knowledge,4,3,1,3,SaaS platform|SaaS Platform|SaaS platforms
banking products,Domain Knowledge,4,3,2,2,sản phẩm dịch vụ ngân hàng|sản phẩm ngân hàng|banking products
workflow orchestration,Engineering Concepts & Methodologies,4,4,3,1,AI workflow orchestration|workflow orchestration|workflow orchestration systems|workflow orchestration platforms
hiệu suất hệ thống,Engineering Concepts & Methodologies,4,4,3,1,hiệu suất hệ thống|tối ưu quy trình vận hành hệ thống|tối ưu hóa hiệu năng hệ thống|tối ưu hiệu suất hệ thống
backend testing,Testing & QA,4,3,4,0,Backend testing|backend testing|backtesting
product testing,Testing & QA,4,4,3,1,kiểm tra sản phẩm|kiểm thử sản phẩm|test AI products|Product Testing
collaboration tools,Soft Skill,4,2,4,0,collaboration skills|collaboration tools
codemagic,Infrastructure & DevOps,4,3,3,1,Codemagic|CodePush|Codebeamer
manage multiple tasks,Soft Skill,4,3,3,1,manage multiple tasks|multi-tasking|multi-task
physics,Domain Knowledge,4,2,4,0,physics|Physics
quản lý source code,Tool & Platform,4,3,3,1,quản lý source code|công cụ quản lý mã nguồn|hệ thống quản lý source code
scope management,Soft Skill,4,2,4,0,scope management|Quản lý Scope
tư duy giải pháp,Soft Skill,4,2,4,0,tư duy giải pháp|tư duy giải quyết vấn đề
thiết kế cấu trúc dữ liệu,Engineering Concepts & Methodologies,4,3,3,1,thiết kế cấu trúc dữ liệu|thiết kế hạ tầng dữ liệu|thiết kế và triển khai kiến trúc dữ liệu
aviation,Domain Knowledge,4,4,1,3,hàng không|Hàng không|aviation|Aviation
hỗ trợ phần mềm,IT Support & Hardware,4,3,3,1,hướng dẫn người dùng phần mềm|hỗ trợ phần mềm|hỗ trợ người dùng phần mềm
thiết kế hệ thống lớn,Engineering Concepts & Methodologies,4,3,4,0,"thiết kế và triển khai hệ thống lớn|thiết kế hệ thống lớn|thiết kế, triển khai, vận hành hệ thống lớn"
cấu hình mạng,Infrastructure & DevOps,4,3,4,0,cấu hình mạng|cấu trúc mạng|cấu hình và giao thức mạng
risk assessment,Engineering Concepts & Methodologies,4,2,3,1,Risk identification|risk assessment
embedded system development,Embedded & Firmware,4,3,3,1,embedded systems programming|embedded system development|embedded system
way4,Tool & Platform,4,2,3,1,Way4|WAY4
ui framework,Framework / Library,4,3,4,0,UI framework|UI frameworks|AI/ML frameworks
database optimization,Engineering Concepts & Methodologies,4,3,3,1,database optimization|SQL optimization|database optimisation
sap cloud platform,Tool & Platform,4,2,2,2,SAP Cloud Platform|SAP on Cloud
thị trường chứng khoán,Domain Knowledge,4,3,1,3,Giao dịch chứng khoán/trái phiếu|hệ thống giao dịch chứng khoán|thị trường chứng khoán
architectural patterns,Engineering Concepts & Methodologies,4,2,3,1,architectural patterns|Agentic AI architectural design patterns
cloud connector,Tool & Platform,4,1,2,2,Cloud Connector
nutanix,Infrastructure & DevOps,4,1,3,1,Nutanix
cấu trúc điều khiển,Embedded & Firmware,4,4,2,2,hệ thống kiểm soát ra vào|các hệ thống điều khiển|hệ thống điều khiển|cấu trúc điều khiển
crm systems,Domain Knowledge,4,2,0,4,CRM systems|martech/CRM systems
oms,Tool & Platform,4,1,2,2,OMS
cron jobs,Tool & Platform,4,4,3,1,Cron Jobs|Cron jobs|cron jobs|cron job
publishing apps to google play,Infrastructure & DevOps,4,4,2,2,publish app lên Google Play|Phát hành và tối ưu ứng dụng trên App Store/Google Play|publishing apps on App Store or Google Play|publishing apps to Google Play
ba phần mềm,Domain Knowledge,4,3,4,0,BA phần mềm nghiệp vụ|BA phần mềm|phần mềm BA
electronjs,Framework / Library,4,2,4,0,Electron.js|ElectronJS
torchserve,Infrastructure & DevOps,4,2,1,3,TorchServe|TorchScript
dell emc,Other,4,2,1,3,Dell EMC|DELL-EMC
